UNITID,DVADM01,DVADM02,DVADM03,DVADM04,DVADM05,DVADM06,DVADM07,DVADM08,DVADM09,DVADM10,DVADM11,DVADM12
149514,100,100,100,46,75,0,31,50,0,15,25,0
149639,89,91,92,44,38,58,44,38,58,0,0,0
149772,71,67,74,10,11,10,10,11,9,0,0,0
149781,87,84,90,30,30,30,30,30,30,0,0,0
150066,79,77,82,8,10,7,8,10,7,0,0,0
150136,85,84,86,20,21,20,20,21,20,0,0,0
150145,98,97,98,27,33,24,27,32,24,0,0,0
150163,85,84,85,13,12,14,13,12,14,0,0,0
150400,57,52,62,13,15,12,13,15,12,0,0,0
150455,73,68,77,14,15,13,14,15,13,0,0,0
150534,78,77,79,11,11,11,11,11,11,0,0,0
150604,70,65,74,17,18,17,17,18,17,0,0,0
150668,84,81,87,15,16,14,15,16,14,0,0,0
150677,82,77,85,11,13,10,11,13,10,0,0,0
150756,84,84,84,14,18,12,14,18,12,0,0,0
150774,75,74,77,19,22,16,18,20,16,1,2,0
150941,76,68,81,20,19,21,19,17,20,1,2,1
151102,84,85,83,21,23,20,21,22,19,1,1,1
151111,76,73,78,25,24,25,24,23,24,1,1,1
151263,66,63,69,11,12,10,11,12,10,0,0,0
151290,70,69,72,13,15,12,13,15,12,0,0,0
151306,96,95,96,30,30,30,30,29,30,0,0,0
151324,81,79,82,14,16,13,14,16,13,0,0,0
151333,86,85,87,32,31,32,31,29,31,1,2,1
151342,84,82,85,39,43,37,36,39,34,3,5,3
151351,78,76,80,18,19,17,18,19,17,0,0,0
151360,73,70,75,23,22,24,21,22,21,2,0,3
151379,84,83,85,40,42,39,37,38,36,3,4,2
151388,67,65,68,29,29,29,27,28,26,2,1,3
151467,75,67,76,22,10,23,22,10,23,0,0,0
151777,71,68,75,15,14,15,15,14,15,0,0,0
151786,95,95,96,16,17,15,15,17,14,0,0,1
151801,89,88,90,17,17,17,17,17,17,0,0,0
152080,11,12,11,62,61,62,62,61,62,0,0,0
152099,83,84,79,32,33,31,32,33,31,0,0,1
152318,77,76,81,13,13,12,13,13,12,0,0,0
152336,96,96,96,21,25,21,21,25,21,0,0,0
152381,72,71,73,21,27,18,19,26,17,1,0,2
152390,76,,76,20,,20,20,,20,0,,0
152497,89,50,94,88,100,87,88,100,87,0,0,0
152530,74,72,74,32,32,32,32,32,32,0,0,0
152567,85,86,85,19,20,17,19,20,17,0,0,0
152600,89,89,90,10,10,10,10,10,10,0,0,0
152673,63,63,,18,18,,18,18,,0,0,
153001,78,80,78,21,21,20,21,21,20,0,0,0
153108,86,87,85,21,22,20,21,22,20,0,0,0
153126,72,71,77,6,4,12,6,4,12,0,0,0
153144,64,56,71,5,8,4,5,8,4,0,0,0
153162,80,82,78,14,15,13,14,15,13,0,0,0
153250,68,66,72,38,33,44,38,33,44,0,0,0
153269,64,57,69,10,9,10,10,9,10,0,0,0
153278,89,87,91,23,27,19,23,26,19,0,0,0
153302,60,52,73,64,65,63,62,61,63,2,3,0
153320,68,69,66,69,67,70,68,66,69,1,1,1
153366,81,80,82,16,18,13,16,18,13,0,0,0
153375,99,99,99,21,21,21,21,21,20,0,0,0
